probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
LT,B-Root,dns_root,anycast,38,36,1,0.02631578947368421,0.9473684210526315,36,21,1,1,0.0,True,True,auditable,,probe_country_service
LU,B-Root,dns_root,anycast,39,37,0,0.0,0.9487179487179487,38,20,1,1,0.0,True,True,auditable,,probe_country_service
LV,B-Root,dns_root,anycast,34,34,0,0.0,1.0,30,19,1,1,0.0,True,True,auditable,,probe_country_service
MA,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MD,B-Root,dns_root,anycast,26,26,0,0.0,1.0,25,15,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
ME,B-Root,dns_root,anycast,6,6,0,0.0,1.0,6,5,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MG,B-Root,dns_root,anycast,2,2,0,0.0,1.0,2,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MH,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MK,B-Root,dns_root,anycast,10,9,0,0.0,0.9,10,8,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
ML,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MM,B-Root,dns_root,anycast,3,3,3,1.0,1.0,3,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MN,B-Root,dns_root,anycast,7,7,6,0.8571428571428571,1.0,7,7,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MP,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MT,B-Root,dns_root,anycast,8,8,8,1.0,1.0,8,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MU,B-Root,dns_root,anycast,8,7,5,0.625,0.875,8,4,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MV,B-Root,dns_root,anycast,12,12,11,0.9166666666666666,1.0,11,4,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
MW,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MX,B-Root,dns_root,anycast,45,43,5,0.1111111111111111,0.9555555555555556,43,22,1,1,0.0,True,True,auditable,,probe_country_service
MY,B-Root,dns_root,anycast,33,30,17,0.5151515151515151,0.9090909090909091,33,18,1,1,0.0,True,True,auditable,,probe_country_service
MZ,B-Root,dns_root,anycast,4,4,0,0.0,1.0,3,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
NA,B-Root,dns_root,anycast,1845,1717,347,0.1880758807588076,0.9306233062330623,1744,4,1,1,0.0,True,True,auditable,,probe_country_service
NC,B-Root,dns_root,anycast,6,6,6,1.0,1.0,5,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
NG,B-Root,dns_root,anycast,9,9,8,0.8888888888888888,1.0,9,6,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
NI,B-Root,dns_root,anycast,6,6,0,0.0,1.0,6,4,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
NL,B-Root,dns_root,anycast,604,580,4,0.006622516556291391,0.9602649006622517,574,159,1,1,0.0,True,True,auditable,,probe_country_service
NO,B-Root,dns_root,anycast,93,87,78,0.8387096774193549,0.9354838709677419,87,32,1,1,0.0,True,True,auditable,,probe_country_service
NP,B-Root,dns_root,anycast,15,15,6,0.4,1.0,15,9,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
NZ,B-Root,dns_root,anycast,103,90,82,0.7961165048543689,0.8737864077669902,98,32,1,1,0.0,True,True,auditable,,probe_country_service
OM,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PA,B-Root,dns_root,anycast,19,18,1,0.05263157894736842,0.9473684210526315,18,11,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
PE,B-Root,dns_root,anycast,21,18,0,0.0,0.8571428571428571,19,14,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
PF,B-Root,dns_root,anycast,5,5,0,0.0,1.0,5,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PG,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PH,B-Root,dns_root,anycast,60,56,48,0.8,0.9333333333333333,59,33,1,1,0.0,True,True,auditable,,probe_country_service
PK,B-Root,dns_root,anycast,6,4,2,0.3333333333333333,0.6666666666666666,6,5,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
PL,B-Root,dns_root,anycast,210,200,0,0.0,0.9523809523809523,202,119,1,1,0.0,True,True,auditable,,probe_country_service
