unit_id,physical_level,feasible_candidate_count,feasible_corridor_count,candidate_entropy_uniform,corridor_entropy_uniform,effective_candidate_count_uniform,effective_corridor_count_uniform,physical_candidate_diversity_upper_bound,num_feasible_links,num_probes,candidate_identifier_column,diversity_weighting,physical_candidate_diversity_score,candidate_entropy,effective_num_candidates,dominant_candidate_support_share
src_country=MQ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,19,1.0986122886681098,2.9444389791664403,3.0,19.0,3.0,3,3,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=MT|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,5,4,1.6094379124341003,1.3862943611198906,5.0,4.0,5.0,1013,110,cable_id,uniform_feasible_set,5.0,1.6094379124341003,5.0,0.2
src_country=MV|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,8,14,2.0794415416798357,2.6390573296152584,8.0,14.0,8.0,428,11,cable_id,uniform_feasible_set,8.0,2.0794415416798357,8.0,0.125
src_country=MX|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,6,5,1.791759469228055,1.6094379124341003,6.0,5.0,6.0,34,3,cable_id,uniform_feasible_set,6.0,1.791759469228055,6.0,0.16666666666666666
src_country=MY|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,41,44,3.713572066704308,3.784189633918261,41.0,44.0,41.0,736,161,cable_id,uniform_feasible_set,41.0,3.713572066704308,41.0,0.024390243902439025
src_country=MZ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,5,1.3862943611198906,1.6094379124341003,4.0,5.0,4.0,29,10,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=NC|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,167,5,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=NG|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,7,12,1.9459101490553132,2.4849066497880004,7.0,12.0,7.0,317,65,cable_id,uniform_feasible_set,7.0,1.9459101490553132,7.0,0.14285714285714285
src_country=NL|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,9,14,2.1972245773362196,2.6390573296152584,9.0,14.0,9.0,3283,1317,cable_id,uniform_feasible_set,9.0,2.1972245773362196,9.0,0.1111111111111111
src_country=NO|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,6,110,1.791759469228055,4.700480365792417,6.0,110.0,6.0,2322,437,cable_id,uniform_feasible_set,6.0,1.791759469228055,6.0,0.16666666666666666
src_country=NZ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,8,45,2.0794415416798357,3.8066624897703196,8.0,45.0,8.0,3319,286,cable_id,uniform_feasible_set,8.0,2.0794415416798357,8.0,0.125
src_country=OM|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,12,32,2.4849066497880004,3.4657359027997265,12.0,32.0,12.0,153,74,cable_id,uniform_feasible_set,12.0,2.4849066497880004,12.0,0.08333333333333333
src_country=PA|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,8,14,2.0794415416798357,2.6390573296152584,8.0,14.0,8.0,306,118,cable_id,uniform_feasible_set,8.0,2.0794415416798357,8.0,0.125
src_country=PE|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,7,1.0986122886681098,1.9459101490553132,3.0,7.0,3.0,1868,103,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=PG|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,2,1.0986122886681098,0.6931471805599453,3.0,2.0,3.0,99,4,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=PH|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,12,229,2.4849066497880004,5.43372200355424,12.0,229.0,12.0,14514,1418,cable_id,uniform_feasible_set,12.0,2.4849066497880004,12.0,0.08333333333333333
