Country,Root,Aggregation_Mode,Confidence_Filter,Owner_Multi_Entity_Mode,Total_Traces,Submarine_Traces,Dependency_Rate,Top_Cable,Top_Cable_Expected_Vol,Top_Cable_Share,Top2_Cable,Top2_Cable_Expected_Vol,Top2_Cable_Share,Dominance_Margin,Unique_CrossBorder_AS_Pairs,Top_CrossBorder_AS_Pair,Top_CrossBorder_AS_Pair_Count,Top_CrossBorder_AS_Pair_Share,Top2_CrossBorder_AS_Pair,Top2_CrossBorder_AS_Pair_Count,Top2_CrossBorder_AS_Pair_Share,CrossBorder_AS_Pair_Dominance_Margin,Cable_vs_ASPair_Concentration_Gap,Top_Owner,Top_Owner_Expected_Vol,Top_Owner_Share,Top2_Owner,Top2_Owner_Expected_Vol,Top2_Owner_Share,Owner_Dominance_Margin,Cable_Owner_Concentration_Gap,High_Bucket_Traces,Medium_Bucket_Traces,Ambiguous_Bucket_Traces
DK,anchor,weighted,all,full,11332,1394,0.123,Aurora,350.0019,0.0309,GlobalConnect Denmark-Sweden,244.7679,0.0216,0.0093,2056,AS3292->AS1299,1314,0.116,AS3292->AS3356,419,0.037,0.079,-0.0851,GlobalConnect,501.3769,0.0442,Arelion,319.8596,0.0282,0.016,0.0134,18,193,1183
HK,anchor,weighted,all,full,5495,650,0.1183,APCN-2,220.4821,0.0401,Asia Pacific Gateway (APG),206.0219,0.0375,0.0026,1316,AS215355->AS8075,187,0.034,AS749->AS3491,184,0.0335,0.0005,0.0061,China Unicom,312.098,0.0568,National Telecom,251.4323,0.0458,0.011,0.0167,10,237,403
BH,anchor,weighted,all,full,480,56,0.1167,SeaMeWe-6,18.1637,0.0378,Asia Africa Europe-1 (AAE-1),6.6838,0.0139,0.0239,193,AS5416->AS174,48,0.1,AS5416->AS8966,37,0.0771,0.0229,-0.0622,Telecom Egypt,41.9034,0.0873,China Unicom,37.6384,0.0784,0.0089,0.0495,1,35,20
ML,anchor,weighted,all,full,96,11,0.1146,BUGIO,5.0087,0.0522,Asia Connect Cable-1 (ACC-1),0.7136,0.0074,0.0447,37,AS8346->AS6453,96,1.0,AS30985->AS8346,96,1.0,0.0,-0.9478,Altice Portugal,8.0,0.0833,Singtel,1.0936,0.0114,0.0719,0.0312,0,0,11
TT,anchor,weighted,all,full,96,11,0.1146,Asia Connect Cable-1 (ACC-1),2.0559,0.0214,Tabua,1.9253,0.0201,0.0014,46,AS264811->AS393434,95,0.9896,AS2914->AS3491,3,0.0312,0.9583,-0.9682,Inligo Networks,3.0,0.0312,Southern Cross Cable Network,1.9496,0.0203,0.0109,0.0098,1,2,8
PW,anchor,weighted,all,full,96,11,0.1146,Asia Connect Cable-1 (ACC-1),1.8719,0.0195,Asia Africa Europe-1 (AAE-1),1.5969,0.0166,0.0029,38,AS17893->AS174,71,0.7396,AS17893->AS6939,11,0.1146,0.625,-0.7201,PCCW,3.2507,0.0339,Telecom Egypt,3.2493,0.0338,0.0,0.0144,1,4,6
IN,anchor,weighted,all,full,13773,1573,0.1142,SeaMeWe-6,548.1223,0.0398,SeaMeWe-4,545.6126,0.0396,0.0002,2193,AS9498->AS6939,570,0.0414,AS4755->AS6453,380,0.0276,0.0138,-0.0016,Telecom Egypt,543.1507,0.0394,Orange,526.3676,0.0382,0.0012,-0.0004,39,504,1030
MW,anchor,weighted,all,full,192,21,0.1094,2Africa,4.9987,0.026,SAT-3/WASC,4.0372,0.021,0.005,84,AS36913->AS37662,41,0.2135,AS36913->AS30844,36,0.1875,0.026,-0.1875,Telecom Egypt,7.2707,0.0379,Orange,7.225,0.0376,0.0002,0.0118,1,11,9
MM,anchor,weighted,all,full,478,51,0.1067,SeaMeWe-4,10.1436,0.0212,APCN-2,9.2157,0.0193,0.0019,200,AS134840->AS136168,95,0.1987,AS45558->AS174,60,0.1255,0.0732,-0.1775,Singtel,18.8517,0.0394,Telekom Malaysia,16.5917,0.0347,0.0047,0.0182,5,7,39
MH,anchor,weighted,all,full,96,10,0.1042,Unity,4.3235,0.045,Tata TGN-Pacific,3.2307,0.0337,0.0114,25,AS2516->AS58453,2,0.0208,AS2516->AS1273,2,0.0208,0.0,0.0242,Singtel,3.5512,0.037,KDDI,3.2139,0.0335,0.0035,-0.008,1,6,3
KY,anchor,weighted,all,full,96,10,0.1042,Tabua,1.953,0.0203,Southern Cross NEXT,1.8867,0.0197,0.0007,36,AS36549->AS3855,96,1.0,AS58453->AS9808,2,0.0208,0.9792,-0.9797,Google,2.0259,0.0211,Inligo Networks,2.0,0.0208,0.0003,0.0008,0,4,6
JP,anchor,weighted,all,full,25551,2618,0.1025,APCN-2,466.8385,0.0183,Asia Pacific Gateway (APG),268.2746,0.0105,0.0078,3551,AS58453->AS9808,323,0.0126,AS2914->AS6762,319,0.0125,0.0002,0.0056,Singtel,882.8644,0.0346,China Unicom,864.4723,0.0338,0.0007,0.0163,76,917,1625
RE,anchor,weighted,all,full,3400,347,0.1021,Asia Connect Cable-1 (ACC-1),49.2722,0.0145,2Africa,43.8675,0.0129,0.0016,718,AS37002->AS4788,634,0.1865,AS37002->AS174,547,0.1609,0.0256,-0.172,Orange,86.9263,0.0256,Meta,86.7123,0.0255,0.0001,0.0111,7,87,253
KH,anchor,weighted,all,full,288,29,0.1007,Asia Africa Europe-1 (AAE-1),4.947,0.0172,SeaMeWe-6,3.6765,0.0128,0.0044,127,AS38623->AS6939,30,0.1042,AS59318->AS174,28,0.0972,0.0069,-0.087,Telecom Egypt,12.3754,0.043,PCCW,10.3503,0.0359,0.007,0.0258,1,10,18
AU,anchor,weighted,all,full,25740,2563,0.0996,Hawaiki Nui 1,471.2324,0.0183,SeaMeWe-4,395.4067,0.0154,0.0029,4062,AS1221->AS4637,1201,0.0467,AS38195->AS1299,1195,0.0464,0.0002,-0.0284,Singtel,656.7716,0.0255,BW Digital,637.8029,0.0248,0.0007,0.0072,73,315,2175
ZW,anchor,weighted,all,full,286,28,0.0979,2Africa,8.3574,0.0292,West Africa Cable System (WACS),4.4839,0.0157,0.0135,124,AS37204->AS37662,70,0.2448,AS37006->AS30844,70,0.2448,0.0,-0.2155,Telecom Egypt,7.8652,0.0275,Vodafone,7.6272,0.0267,0.0008,-0.0017,3,12,13
MT,anchor,weighted,all,full,960,90,0.0938,PEACE Cable,44.8789,0.0467,Medusa Submarine Cable System,32.1004,0.0334,0.0133,250,AS12709->AS1299,544,0.5667,AS15735->AS1299,178,0.1854,0.3812,-0.5199,Peace Cable International Network Co. Ltd.,27.3492,0.0285,Telecom Egypt,22.5082,0.0234,0.005,-0.0183,2,7,81
GQ,anchor,weighted,all,full,96,9,0.0938,Hawaiki Nui 1,1.3669,0.0142,PEACE Cable,1.3019,0.0136,0.0007,38,AS37529->AS60171,12,0.125,AS174->AS9498,5,0.0521,0.0729,-0.1108,Tata Communications,3.5278,0.0367,PCCW,2.5278,0.0263,0.0104,0.0225,0,3,6
SA,anchor,weighted,all,full,1761,163,0.0926,SeaMeWe-4,53.899,0.0306,PEACE Cable,43.2047,0.0245,0.0061,558,AS35819->AS3356,157,0.0892,AS25019->AS3356,137,0.0778,0.0114,-0.0585,Telecom Egypt,85.2014,0.0484,Orange,73.6482,0.0418,0.0066,0.0178,3,58,102
TZ,anchor,weighted,all,full,384,35,0.0911,SAT-3/WASC,13.7567,0.0358,2Africa,12.4943,0.0325,0.0033,147,AS37035->AS37662,70,0.1823,AS37126->AS30844,62,0.1615,0.0208,-0.1465,Orange,13.8026,0.0359,PCCW,11.3447,0.0295,0.0064,0.0001,0,25,10
CD,anchor,weighted,all,full,288,26,0.0903,2Africa,9.6082,0.0334,Project Waterworth,2.9351,0.0102,0.0232,129,AS37006->AS30844,76,0.2639,AS30844->AS37006,76,0.2639,0.0,-0.2305,Orange,12.9351,0.0449,Meta,12.6713,0.044,0.0009,0.0116,0,7,19
