probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
GF,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GG,F-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GH,F-Root,dns_root,anycast,6,6,4,0.6666666666666666,1.0,3,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
GP,F-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GQ,F-Root,dns_root,anycast,2,2,1,0.5,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GR,F-Root,dns_root,anycast,146,110,0,0.0,0.7534246575342466,73,26,1,1,0.0136986301369863,True,True,auditable,,probe_country_service
GT,F-Root,dns_root,anycast,8,4,0,0.0,0.5,4,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
GU,F-Root,dns_root,anycast,18,18,17,0.9444444444444444,1.0,9,5,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
HK,F-Root,dns_root,anycast,98,82,77,0.7857142857142857,0.8367346938775511,49,32,1,1,0.0,True,True,auditable,,probe_country_service
HN,F-Root,dns_root,anycast,18,8,0,0.0,0.4444444444444444,9,6,1,1,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
HR,F-Root,dns_root,anycast,84,70,0,0.0,0.8333333333333334,42,20,1,1,0.09523809523809523,True,True,auditable,,probe_country_service
HT,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
HU,F-Root,dns_root,anycast,110,80,0,0.0,0.7272727272727273,55,23,1,1,0.3090909090909091,True,True,auditable,,probe_country_service
ID,F-Root,dns_root,anycast,157,147,140,0.89171974522293,0.9363057324840764,79,57,1,1,0.1910828025477707,True,True,auditable,,probe_country_service
IE,F-Root,dns_root,anycast,173,169,0,0.0,0.976878612716763,87,24,1,1,0.0,True,True,auditable,,probe_country_service
IL,F-Root,dns_root,anycast,57,53,45,0.7894736842105263,0.9298245614035088,29,12,1,1,0.017543859649122806,True,True,auditable,,probe_country_service
IM,F-Root,dns_root,anycast,6,6,4,0.6666666666666666,1.0,3,3,1,1,0.6666666666666666,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
IN,F-Root,dns_root,anycast,271,196,5,0.01845018450184502,0.7232472324723247,135,59,1,1,0.0,True,True,auditable,,probe_country_service
IQ,F-Root,dns_root,anycast,16,10,0,0.0,0.625,8,6,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
IR,F-Root,dns_root,anycast,88,34,0,0.0,0.38636363636363635,44,22,1,1,0.0,True,True,auditable,,probe_country_service
IS,F-Root,dns_root,anycast,22,20,0,0.0,0.9090909090909091,11,8,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
IT,F-Root,dns_root,anycast,614,505,2,0.003257328990228013,0.8224755700325733,307,102,1,1,0.11889250814332247,True,True,auditable,,probe_country_service
JO,F-Root,dns_root,anycast,4,0,0,0.0,0.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
JP,F-Root,dns_root,anycast,449,418,2,0.004454342984409799,0.9309576837416481,224,99,1,1,0.013363028953229399,True,True,auditable,,probe_country_service
KE,F-Root,dns_root,anycast,30,27,4,0.13333333333333333,0.9,15,10,1,1,0.0,True,True,auditable,,probe_country_service
KG,F-Root,dns_root,anycast,40,32,0,0.0,0.8,20,13,1,1,0.0,True,True,auditable,,probe_country_service
KH,F-Root,dns_root,anycast,6,6,2,0.3333333333333333,1.0,3,3,1,1,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
KI,F-Root,dns_root,anycast,4,4,4,1.0,1.0,2,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KN,F-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KR,F-Root,dns_root,anycast,44,38,0,0.0,0.8636363636363636,22,12,1,1,0.22727272727272727,True,True,auditable,,probe_country_service
