probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
NA,M-Root,dns_root,anycast,3490,3276,503,0.14412607449856735,0.9386819484240687,1745,4,1,1,0.925214899713467,True,True,auditable,,probe_country_service
NC,M-Root,dns_root,anycast,10,10,10,1.0,1.0,5,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
NG,M-Root,dns_root,anycast,18,18,7,0.3888888888888889,1.0,9,6,1,1,0.6666666666666666,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
NI,M-Root,dns_root,anycast,12,8,0,0.0,0.6666666666666666,6,4,1,1,0.6666666666666666,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
NL,M-Root,dns_root,anycast,1147,1107,6,0.0052310374891020054,0.96512641673932,575,159,1,1,0.960767218831735,True,True,auditable,,probe_country_service
NO,M-Root,dns_root,anycast,176,168,142,0.8068181818181818,0.9545454545454546,89,33,1,1,0.9431818181818182,True,True,auditable,,probe_country_service
NP,M-Root,dns_root,anycast,29,29,1,0.034482758620689655,1.0,15,9,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
NZ,M-Root,dns_root,anycast,195,181,168,0.8615384615384616,0.9282051282051282,98,32,1,1,0.9179487179487179,True,True,auditable,,probe_country_service
OM,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PA,M-Root,dns_root,anycast,36,34,3,0.08333333333333333,0.9444444444444444,18,11,1,1,0.9444444444444444,True,True,auditable,,probe_country_service
