country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AU,landing_region_0041::landing_region_0348,landing_region_0041 -> landing_region_0348,11.0,11,11,11,11,6,0.035483870967741936,8,False,False,False,0.0,11.0
AU,landing_region_0735::landing_region_0945,landing_region_0735 -> landing_region_0945,8.0,8,8,8,8,6,0.025806451612903226,9,False,False,False,8.0,0.0
AU,landing_region_0041::landing_region_0041,landing_region_0041 -> landing_region_0041,4.0,4,4,4,4,2,0.012903225806451613,10,False,False,False,4.0,0.0
AU,landing_region_0009::landing_region_0041,landing_region_0009 -> landing_region_0041,3.0,3,3,3,3,3,0.00967741935483871,11,False,False,False,3.0,0.0
AU,landing_region_0014::landing_region_0041,landing_region_0014 -> landing_region_0041,1.0,1,1,1,1,1,0.0032258064516129032,12,False,False,False,0.0,1.0
AU,landing_region_0132::landing_region_0735,landing_region_0132 -> landing_region_0735,1.0,1,1,1,1,1,0.0032258064516129032,13,False,False,False,0.0,1.0
AX,landing_region_0415::landing_region_0693,landing_region_0415 -> landing_region_0693,1.0,2,2,1,1,1,0.5,1,True,False,False,0.5,0.5
AX,landing_region_0415::landing_region_0415,landing_region_0415 -> landing_region_0415,0.5,1,1,1,1,1,0.25,2,False,True,False,0.5,0.0
AX,landing_region_0415::landing_region_0512,landing_region_0415 -> landing_region_0512,0.5,1,1,1,1,1,0.25,3,False,False,True,0.0,0.5
BJ,landing_region_0239::landing_region_0297,landing_region_0239 -> landing_region_0297,3.0,3,3,3,3,2,1.0,1,True,False,False,0.0,3.0
BR,landing_region_0174::landing_region_0770,landing_region_0174 -> landing_region_0770,15.0,15,15,15,15,11,0.75,1,True,False,False,0.0,15.0
BR,landing_region_0174::landing_region_0370,landing_region_0174 -> landing_region_0370,2.0,2,2,2,2,2,0.1,2,False,True,False,0.0,2.0
BR,landing_region_0370::landing_region_0809,landing_region_0370 -> landing_region_0809,1.0,1,1,1,1,1,0.05,3,False,False,True,1.0,0.0
BR,landing_region_0370::landing_region_0828,landing_region_0370 -> landing_region_0828,1.0,1,1,1,1,1,0.05,4,False,False,False,1.0,0.0
BR,landing_region_0770::landing_region_0809,landing_region_0770 -> landing_region_0809,1.0,1,1,1,1,1,0.05,5,False,False,False,1.0,0.0
