probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
HN,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,263725->54082,8,0.6666666666666666,1,True,False,False,12,12,0,0,1.0,0.0,0.0,6,4
HN,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,64150->54082,4,0.3333333333333333,2,False,True,False,12,12,0,0,1.0,0.0,0.0,6,4
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17451->6453,7,0.1891891891891892,1,True,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,23700->7632,4,0.10810810810810811,2,False,True,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9905->7632,2,0.05405405405405406,3,False,False,True,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138074->4787,2,0.05405405405405406,4,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,24203->6453,2,0.05405405405405406,5,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,149728->58389,2,0.05405405405405406,6,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,135659->58389,2,0.05405405405405406,7,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,142360->55666,2,0.05405405405405406,8,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,55666->58389,2,0.05405405405405406,9,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138840->2914,2,0.05405405405405406,10,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,131749->58389,2,0.05405405405405406,11,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,58389->6939,2,0.05405405405405406,12,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,58453->3491,2,0.05405405405405406,13,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,45147->6939,2,0.05405405405405406,14,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,147094->2914,1,0.02702702702702703,15,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138115->149391,1,0.02702702702702703,16,False,False,False,138,37,82,19,0.26811594202898553,0.5942028985507246,0.13768115942028986,19,15
