landing_station_id,landing_station_name,landing_region_id,landing_region_label,latitude,longitude,region_assignment_method
bamfield-bc-canada,"Bamfield, BC, Canada",landing_region_0008,"Addenbroke Island, BC, Canada",48.832827880049535,-125.14150866980336,geographic_connected_component
banana-bay-virgin-islands-u-s-,"Banana Bay, Virgin Islands (U.S.)",landing_region_0115,"Banana Bay, Virgin Islands (U.S.)",18.328219740149585,-64.94377624225066,geographic_connected_component
bandaneria-indonesia,"Bandaneria, Indonesia",landing_region_0116,"Bandaneria, Indonesia",-4.520181235524493,129.8720525452634,geographic_connected_component
bandar-abbas-iran,"Bandar Abbas, Iran",landing_region_0117,"Bandar Abbas, Iran",27.187166634918263,56.2743507763158,geographic_connected_component
bandar-lampung-indonesia,"Bandar Lampung, Indonesia",landing_region_0118,"Bandar Lampung, Indonesia",-5.40921,105.2540970000002,geographic_connected_component
bandon-or-united-states,"Bandon, OR, United States",landing_region_0119,"Bandon, OR, United States",43.11855671756466,-124.40823607019432,geographic_connected_component
banff-united-kingdom,"Banff, United Kingdom",landing_region_0120,"Banff, United Kingdom",57.666865033116686,-2.523654445625608,geographic_connected_component
bangaram-india,"Bangaram, India",landing_region_0016,"Agatti, India",10.939880964178196,72.28722656010738,geographic_connected_component
bangga-indonesia,"Bangga, Indonesia",landing_region_0121,"Bangga, Indonesia",-1.600278223931106,123.5275341004328,geographic_connected_component
banjarmasin-indonesia,"Banjarmasin, Indonesia",landing_region_0122,"Banjarmasin, Indonesia",-3.327961488455888,114.60399695504718,geographic_connected_component
banjul-gambia,"Banjul, Gambia",landing_region_0123,"Banjul, Gambia",13.455945272538813,-16.58135933076553,geographic_connected_component
banyu-urip-indonesia,"Banyu Urip, Indonesia",landing_region_0124,"Banyu Urip, Indonesia",-7.271904005469731,112.71968042869285,geographic_connected_component
barbers-point-hi-united-states,"Barber’s Point, HI, United States",landing_region_0125,"Barber’s Point, HI, United States",21.313832454732772,-158.09434188207686,geographic_connected_component
barcelona-spain,"Barcelona, Spain",landing_region_0126,"Barcelona, Spain",41.38562799999929,2.168764,geographic_connected_component
barcelos-brazil,"Barcelos, Brazil",landing_region_0127,"Barcelos, Brazil",-0.974081207000161,-62.925769709999486,geographic_connected_component
bari-italy,"Bari, Italy",landing_region_0128,"Bari, Italy",41.12549190517644,16.866663849341016,geographic_connected_component
barka-oman,"Barka, Oman",landing_region_0030,"Al Bustan, Oman",23.678719999999707,57.88605,geographic_connected_component
barranquilla-colombia,"Barranquilla, Colombia",landing_region_0129,"Barranquilla, Colombia",10.94046235659719,-74.77975560247559,geographic_connected_component
barsebck-sweden,"Barsebäck, Sweden",landing_region_0051,"Alsgarde, Denmark",55.770378890641,12.955436151341473,geographic_connected_component
basseterre-saint-kitts-and-nevis,"Basseterre, Saint Kitts and Nevis",landing_region_0105,"Baie Longue, Saint Martin",17.29863882853097,-62.73121677449255,geographic_connected_component
bastia-france,"Bastia, France",landing_region_0130,"Bastia, France",42.69728299999956,9.450881000001129,geographic_connected_component
bata-equatorial-guinea,"Bata, Equatorial Guinea",landing_region_0131,"Bata, Equatorial Guinea",1.860069534049234,9.768231377937187,geographic_connected_component
batam-indonesia,"Batam, Indonesia",landing_region_0132,"Batam, Indonesia",1.066796188550793,104.01664054897991,geographic_connected_component
batangas-philippines,"Batangas, Philippines",landing_region_0133,"Batangas, Philippines",13.765553306627538,121.06492987806165,geographic_connected_component
