country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
MY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9930->9930,as_transition,3,3,0.25,3,False,False,True,False,12,6,6,3,0
MY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,17666->-1,as_transition,2,2,0.16666666666666666,4,False,False,False,False,12,6,6,0,2
MY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,132372->-1,as_transition,1,1,0.08333333333333333,5,False,False,False,False,12,6,6,0,1
NC,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,18200->-1,as_transition,13,13,1.0,1,True,False,False,False,13,5,2,0,13
NG,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,37282->37282,as_transition,6,6,0.3,1,True,False,False,False,20,9,8,0,6
NG,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,36937->30844,as_transition,4,4,0.2,2,False,True,False,False,20,9,8,0,4
NG,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,37271->37271,as_transition,4,4,0.2,3,False,False,True,False,20,9,8,0,4
NG,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,37721->37721,as_transition,3,3,0.15,4,False,False,False,False,20,9,8,0,3
NG,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,30844->30844,as_transition,2,2,0.1,5,False,False,False,False,20,9,8,0,2
NG,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,37529->37529,as_transition,1,1,0.05,6,False,False,False,False,20,9,8,0,1
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,29695->29695,as_transition,66,66,0.5689655172413793,1,True,False,False,False,116,36,12,66,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,56655->56655,as_transition,12,12,0.10344827586206896,2,False,True,False,False,116,36,12,12,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,224->224,as_transition,9,9,0.07758620689655173,3,False,False,True,False,116,36,12,9,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,49409->57829,as_transition,5,5,0.04310344827586207,4,False,False,False,False,116,36,12,5,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,57829->3356,as_transition,5,5,0.04310344827586207,5,False,False,False,False,116,36,12,5,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,25400->25400,as_transition,5,5,0.04310344827586207,6,False,False,False,False,116,36,12,5,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,2119->2119,as_transition,5,5,0.04310344827586207,7,False,False,False,False,116,36,12,5,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,25400->1299,as_transition,3,3,0.02586206896551724,8,False,False,False,False,116,36,12,3,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,48144->50304,as_transition,3,3,0.02586206896551724,9,False,False,False,False,116,36,12,3,0
NO,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,50304->50304,as_transition,3,3,0.02586206896551724,10,False,False,False,False,116,36,12,3,0
NU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,55885->38800,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,64073->64073,as_transition,66,66,0.4370860927152318,1,True,False,False,False,151,39,12,66,0
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,56030->56030,as_transition,36,36,0.23841059602649006,2,False,True,False,False,151,39,12,36,0
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,55850->55850,as_transition,19,19,0.12582781456953643,3,False,False,True,False,151,39,12,19,0
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23655->2906,as_transition,9,9,0.059602649006622516,4,False,False,False,False,151,39,12,9,0
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4049->-1,as_transition,6,6,0.039735099337748346,5,False,False,False,False,151,39,12,6,0
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,38022->-1,as_transition,6,6,0.039735099337748346,6,False,False,False,False,151,39,12,6,0
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9790->2906,as_transition,4,4,0.026490066225165563,7,False,False,False,False,151,39,12,4,0
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23838->-1,as_transition,3,3,0.019867549668874173,8,False,False,False,False,151,39,12,3,0
NZ,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,24324->24324,as_transition,2,2,0.013245033112582781,9,False,False,False,False,151,39,12,2,0
PA,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,11556->23520,as_transition,3,3,1.0,1,True,False,False,False,3,1,1,0,3
PE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->23520,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PG,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,17828->-1,as_transition,3,3,1.0,1,True,False,False,False,3,1,1,0,3
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9299->9299,as_transition,37,37,0.2781954887218045,1,True,False,False,False,133,45,23,5,32
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,17639->17639,as_transition,16,16,0.12030075187969924,2,False,True,False,False,133,45,23,0,16
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,134707->134707,as_transition,15,15,0.11278195488721804,3,False,False,True,False,133,45,23,6,9
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,137074->137074,as_transition,10,10,0.07518796992481203,4,False,False,False,False,133,45,23,0,10
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,45754->-1,as_transition,8,8,0.06015037593984962,5,False,False,False,False,133,45,23,0,8
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,17639->-1,as_transition,6,6,0.045112781954887216,6,False,False,False,False,133,45,23,0,6
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,55821->55821,as_transition,6,6,0.045112781954887216,7,False,False,False,False,133,45,23,0,6
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,135607->-1,as_transition,5,5,0.03759398496240601,8,False,False,False,False,133,45,23,0,5
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,37904->-1,as_transition,3,3,0.022556390977443608,9,False,False,False,False,133,45,23,0,3
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,45209->9821,as_transition,3,3,0.022556390977443608,10,False,False,False,False,133,45,23,3,0
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9821->9821,as_transition,3,3,0.022556390977443608,11,False,False,False,False,133,45,23,0,3
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,56099->-1,as_transition,3,3,0.022556390977443608,12,False,False,False,False,133,45,23,0,3
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,139831->139831,as_transition,3,3,0.022556390977443608,13,False,False,False,False,133,45,23,0,3
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,132400->134707,as_transition,3,3,0.022556390977443608,14,False,False,False,False,133,45,23,3,0
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9299->2906,as_transition,2,2,0.015037593984962405,15,False,False,False,False,133,45,23,0,2
PH,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,137818->132021,as_transition,2,2,0.015037593984962405,16,False,False,False,False,133,45,23,2,0
