unit_id,src_country,service_id,msm_id,file_name,num_measurements,num_probes,num_probe_asns,num_files_or_targets,num_egress_links,num_egress_asns,num_next_asns_after_egress,num_egress_transitions,egress_transition_entropy,effective_egress_transitions,num_src_dst_as_pairs,src_dst_as_pair_entropy,effective_as_pair_transitions,network_effective_diversity,physical_level,num_feasible_candidates,num_feasible_corridors,effective_feasible_candidates,effective_feasible_corridors,physical_candidate_diversity_upper_bound,network_to_physical_compression_ratio,log_network_physical_compression_gap,physical_coverage_ratio,absolute_compression_tier,network_percentile,physical_upper_bound_percentile,rank_gap_upper_bound,strict_upper_bound_mismatch_75_25,upper_bound_mismatch_category,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier
NA,FJ,MULTI,MULTI,root_dns_traces.json,11,2,2,1,16,2,3,3,0.6019239717322894,1.8256278800579229,3,0.6019239717322894,1.8256278800579229,1.8256278800579229,cable,4,5,4.0,5.0,4.0,0.4564069700144807,-0.5707073141038579,2.191027012510945,no_compression,0.367816091954023,0.42528735632183906,-37.0,False,network_low_physical_upper_low,2.079441541679836,0.1005434782608695,low
NA,FJ,MULTI,MULTI,root_dns_traces.json,11,2,2,1,16,2,3,3,0.6019239717322894,1.8256278800579229,3,0.6019239717322894,1.8256278800579229,1.8256278800579229,corridor,4,5,4.0,5.0,5.0,0.3651255760115846,-0.7530288708978126,2.7387837656386806,no_compression,0.367816091954023,0.47126436781609193,-26.0,False,network_low_physical_upper_low,2.079441541679836,0.1005434782608695,low
NA,FR,MULTI,MULTI,root_dns_traces.json,13,214,8,1,316,5,5,5,0.5797405479919738,1.785575099601501,9,1.225722609376931,3.406626854104009,1.785575099601501,cable,16,23,16.0,23.0,16.0,0.11159844372509381,-1.808758993035698,8.960698434678458,no_compression,0.3563218390804598,0.9195402298850575,-48.0,False,network_low_physical_upper_high,22.11035519057246,0.967391304347826,high
NA,FR,MULTI,MULTI,root_dns_traces.json,13,214,8,1,316,5,5,5,0.5797405479919738,1.785575099601501,9,1.225722609376931,3.406626854104009,1.785575099601501,corridor,16,23,16.0,23.0,23.0,0.07763369998267396,-2.1535994793274273,12.881003999850282,no_compression,0.3563218390804598,0.8218390804597702,-39.0,False,network_low_physical_upper_high,22.11035519057246,0.967391304347826,high
NA,GB,MULTI,MULTI,root_dns_traces.json,9,10,4,1,18,2,1,2,0.6365141682948128,1.8898815748423097,4,1.1770453027162642,3.244772704018728,1.8898815748423097,cable,9,10,9.0,10.0,9.0,0.20998684164914552,-1.241369569272523,4.762203155904599,no_compression,0.3850574712643678,0.7758620689655172,-41.0,False,network_low_physical_upper_high,21.96708091757096,0.9619565217391304,high
NA,GB,MULTI,MULTI,root_dns_traces.json,9,10,4,1,18,2,1,2,0.6365141682948128,1.8898815748423097,4,1.1770453027162642,3.244772704018728,1.8898815748423097,corridor,9,10,9.0,10.0,10.0,0.18898815748423098,-1.3366797490768478,5.291336839893998,no_compression,0.3850574712643678,0.6954022988505747,-30.0,False,network_low_physical_upper_high,21.96708091757096,0.9619565217391304,high
NA,GH,MULTI,MULTI,root_dns_traces.json,13,7,2,1,62,2,2,2,0.6742979594073284,1.9626546289797508,2,0.6742979594073284,1.9626546289797508,1.9626546289797508,cable,6,4,6.0,4.0,6.0,0.3271091048299585,-0.8598244485199953,3.0570839675032317,no_compression,0.41379310344827586,0.6206896551724138,-36.0,False,network_low_physical_upper_high,9.937326831919943,0.657608695652174,medium
NA,GH,MULTI,MULTI,root_dns_traces.json,13,7,2,1,62,2,2,2,0.6742979594073284,1.9626546289797508,2,0.6742979594073284,1.9626546289797508,1.9626546289797508,corridor,6,4,6.0,4.0,4.0,0.4906636572449377,-0.5233522118987823,2.0380559783354877,no_compression,0.41379310344827586,0.3793103448275862,-22.0,False,network_low_physical_upper_low,9.937326831919943,0.657608695652174,medium
NA,GP,MULTI,MULTI,root_dns_traces.json,13,1,1,1,2,1,1,1,-0.0,1.0,2,0.2640520518256287,1.302195976214733,1.0,cable,5,18,5.0,18.0,5.0,0.2,-1.0986122886681096,5.0,no_compression,0.13793103448275862,0.5229885057471264,-47.0,False,network_low_physical_upper_high,2.302585092994045,0.1195652173913043,low
NA,GP,MULTI,MULTI,root_dns_traces.json,13,1,1,1,2,1,1,1,-0.0,1.0,2,0.2640520518256287,1.302195976214733,1.0,corridor,5,18,5.0,18.0,18.0,0.05555555555555555,-2.251291798606495,18.0,no_compression,0.13793103448275862,0.7758620689655172,-44.0,False,network_low_physical_upper_high,2.302585092994045,0.1195652173913043,low
NA,GQ,MULTI,MULTI,root_dns_traces.json,13,1,1,1,26,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,cable,1,2,1.0,2.0,1.0,1.0,0.0,1.0,no_compression,0.13793103448275862,0.05172413793103448,-43.0,False,network_low_physical_upper_low,1.3862943611198906,0.0543478260869565,low
NA,GQ,MULTI,MULTI,root_dns_traces.json,13,1,1,1,26,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,2,1.0,2.0,2.0,0.5,-0.4054651081081645,2.0,no_compression,0.13793103448275862,0.1724137931034483,-32.0,False,network_low_physical_upper_low,1.3862943611198906,0.0543478260869565,low
NA,GR,msm_5008,5008,root_dns_traces.json,1,89,2,1,0,0,0,0,0.0,0.0,2,0.28216414057581135,1.3259963519299167,1.3259963519299167,cable,3,3,3.0,3.0,3.0,0.4419987839766389,-0.5421458754124738,2.262449663329511,no_compression,0.28735632183908044,0.3275862068965517,-43.0,False,network_low_physical_upper_low,13.34253013301271,0.7554347826086957,high
NA,GR,msm_5008,5008,root_dns_traces.json,1,89,2,1,0,0,0,0,0.0,0.0,2,0.28216414057581135,1.3259963519299167,1.3259963519299167,corridor,3,3,3.0,3.0,3.0,0.4419987839766389,-0.5421458754124738,2.262449663329511,no_compression,0.28735632183908044,0.28735632183908044,-31.0,False,network_low_physical_upper_low,13.34253013301271,0.7554347826086957,high
NA,GT,MULTI,MULTI,root_dns_traces.json,13,7,1,1,93,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,cable,2,2,2.0,2.0,2.0,0.5,-0.4054651081081645,2.0,no_compression,0.13793103448275862,0.1896551724137931,-44.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium
NA,GT,MULTI,MULTI,root_dns_traces.json,13,7,1,1,93,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,2,2,2.0,2.0,2.0,0.5,-0.4054651081081645,2.0,no_compression,0.13793103448275862,0.1724137931034483,-32.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium
