country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
GU,120,0.75,0.9166666666666666,1.0,2.0574424589560696,moderate_network_transition_concentration,0.3333333333333333,0.625,0.9166666666666667,3.6401690800234143,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",5,2,0.5833333333333334,0.4166666666666667
HK,420,0.19047619047619047,0.38095238095238093,0.5357142857142857,10.265692227916881,broad_network_transition_distribution,0.7976190476190477,0.9523809523809524,0.9761904761904763,1.910013708880619,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,49,20,0.10714285714285714,0.8928571428571429
HN,65,0.6153846153846154,1.0,1.0,1.9469780302238757,moderate_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,6,0.0,1.0
ID,1105,0.7647058823529411,0.7873303167420814,0.8054298642533936,3.3348382791447277,weak_network_transition_concentration,0.8009049773755657,0.9230769230769231,0.9411764705882353,2.14932826368186,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,84,51,0.9819004524886877,0.01809954751131222
IE,80,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,3,0.0,1.0
IL,190,0.5263157894736842,0.7368421052631579,0.8421052631578947,3.65017430572568,weak_network_transition_concentration,0.8947368421052632,1.0,1.0,1.4000329297344922,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,14,8,0.8947368421052632,0.10526315789473684
IM,20,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
IN,5,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
IT,210,0.8571428571428571,0.9047619047619047,0.9523809523809523,1.7630776222609703,severe_network_transition_concentration,0.8571428571428571,0.9047619047619047,0.9523809523809523,1.8577680644564667,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,18,8,0.9523809523809524,0.04761904761904761
JM,10,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
JP,1865,0.16621983914209115,0.32707774798927614,0.4075067024128686,23.34189620076776,broad_network_transition_distribution,0.40214477211796246,0.599195710455764,0.7694369973190348,5.0980871770358895,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,110,40,0.4075067024128686,0.5924932975871313
KE,35,0.7142857142857143,1.0,1.0,1.8189685116531733,moderate_network_transition_concentration,0.7142857142857143,1.0,1.0,1.8189685116531733,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,3,3,0.0,1.0
