country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
CH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1155,1155.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,71,27,1,0.948051948051948,0.05194805194805195
CL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,265,265.0,2,landing_region_0242::landing_region_0975,0.9622641509433962,1.0,1.0,1.1743097897720112,severe_corridor_observation_concentration,True,True,True,True,auditable,,25,15,1,1.0,0.0
CM,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_0333::landing_region_0556,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CN,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,40,40.0,6,landing_region_0230::landing_region_0230,0.375,0.625,0.75,4.858931393520616,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",3,2,1,1.0,0.0
CO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0129::landing_region_0809,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CV,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_0239::landing_region_0769,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0174::landing_region_0603,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CY,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,55,55.0,3,landing_region_0734::landing_region_1009,0.36363636363636365,0.6818181818181819,1.0,2.993895655709594,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.36363636363636365,0.6363636363636364
DE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,50,50.0,2,landing_region_0376::landing_region_0376,0.6,1.0,1.0,1.9601317042077895,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,3,3,1,0.6,0.4
DJ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,60,60.0,2,landing_region_0132::landing_region_0330,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,4,4,1,0.0,1.0
DK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1475,1474.9999999999998,7,landing_region_0524::landing_region_0524,0.43163841807909603,0.6378531073446327,0.7887005649717514,4.522763324559328,broad_corridor_observation_distribution,False,False,True,True,auditable,,60,21,1,0.5694915254237289,0.4305084745762712
DO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0174::landing_region_0213,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
EE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,90,90.0,4,landing_region_0351::landing_region_0640,0.4444444444444444,0.6666666666666666,0.8888888888888888,3.5716523669284492,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,4,3,1,0.1111111111111111,0.8888888888888888
ES,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,60,60.0,2,landing_region_0126::landing_region_0431,0.8333333333333334,1.0,1.0,1.5691925832141966,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,6,4,1,0.16666666666666666,0.8333333333333334
FI,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,730,730.0000000000001,8,landing_region_0351::landing_region_0640,0.6872146118721462,0.7614155251141553,0.8310502283105023,3.2462297676159393,weak_corridor_observation_concentration,True,True,True,True,auditable,,59,26,1,0.4520547945205478,0.547945205479452
FR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,105,105.0,4,landing_region_0431::landing_region_0431,0.42857142857142855,0.8095238095238095,0.9047619047619047,3.250011455080512,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,5,4,1,0.5238095238095238,0.47619047619047616
GB,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,20,20.0,2,landing_region_0039::landing_region_0159,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5
GH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,20,20.0,1,landing_region_0006::landing_region_0556,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
GP,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_0106::landing_region_0106,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
GQ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0556::landing_region_0577,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
GR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,915,915.0,1,landing_region_0088::landing_region_0424,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,92,39,1,1.0,0.0
GT,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,30,30.0,1,landing_region_0591::landing_region_0785,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,3,3,1,0.0,1.0
GU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,120,120.0,4,landing_region_0014::landing_region_0266,0.3333333333333333,0.625,0.9166666666666667,3.6401690800234143,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.5833333333333334,0.4166666666666667
HK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,420,420.0,4,landing_region_0132::landing_region_0230,0.7976190476190477,0.9523809523809524,0.9761904761904763,1.910013708880619,moderate_corridor_observation_concentration,True,True,True,True,auditable,,49,20,1,0.10714285714285714,0.8928571428571429
HN,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,65,65.0,2,landing_region_0174::landing_region_0775,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,6,1,0.0,1.0
ID,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1105,1105.0,8,landing_region_0061::landing_region_0499,0.8009049773755657,0.9230769230769231,0.9411764705882353,2.14932826368186,severe_corridor_observation_concentration,True,True,True,True,auditable,,84,51,1,0.9819004524886877,0.01809954751131222
IE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,80,80.0,1,landing_region_0169::landing_region_0279,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,3,1,0.0,1.0
IL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,190,190.0,2,landing_region_0083::landing_region_0083,0.8947368421052632,1.0,1.0,1.4000329297344922,severe_corridor_observation_concentration,True,True,True,True,auditable,,14,8,1,0.8947368421052632,0.10526315789473684
IM,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,20,20.0,1,landing_region_0169::landing_region_0334,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
