probe_country,service_id,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
NZ,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,201,10,64073->64073,0.4975124378109453,0.6965174129353234,0.791044776119403,4.8129874861290265,broad_network_transition_distribution,0.0,True,True,auditable,,70,17,0.3880597014925373,0.6119402985074627
OM,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,2,45430->55818,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.5,0.5
PA,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,272037->52468,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
PE,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,1,12956->12956,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
PG,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,6,2,-1->-1,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6666666666666666,0.3333333333333333
PH,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,154,28,9299->9299,0.2987012987012987,0.44155844155844154,0.5194805194805194,13.787750195429457,broad_network_transition_distribution,0.0,True,True,auditable,,46,25,0.7012987012987013,0.2987012987012987
PK,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,10,4,55818->55818,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.4,0.6
PL,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,70,3,3303->3303,0.5714285714285714,0.9714285714285714,1.0,2.198726031808108,moderate_network_transition_concentration,0.0,True,True,auditable,,35,27,1.0,0.0
PR,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,23114->23114,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
PT,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,16,6,12353->12353,0.375,0.5,0.625,5.298702257124208,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,0.875,0.125
RO,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,3,2603->8674,0.4,0.8,1.0,2.8717458874925876,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.4,0.6
RU,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,323,6,55818->55818,0.8328173374613003,0.9318885448916409,0.9721362229102167,1.8914738268461329,severe_network_transition_concentration,0.0,True,True,auditable,,162,102,0.9318885448916409,0.06811145510835913
SE,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,107,18,1257->1257,0.19626168224299065,0.34579439252336447,0.4485981308411215,13.339365277070328,broad_network_transition_distribution,0.0,True,True,auditable,,35,20,0.9439252336448598,0.056074766355140186
SG,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,122,13,55818->55818,0.29508196721311475,0.4426229508196721,0.5901639344262295,7.402671725403128,broad_network_transition_distribution,0.0,True,True,auditable,,43,25,0.38524590163934425,0.6147540983606558
