country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
NL,landing_region_0149::landing_region_0159,landing_region_0149 -> landing_region_0159,1.0,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
NO,landing_region_0335::landing_region_0335,landing_region_0335 -> landing_region_0335,29.666666666666664,54,54,46,23,11,0.3189964157706093,1,True,False,False,29.666666666666664,0.0
NO,landing_region_0335::landing_region_0562,landing_region_0335 -> landing_region_0562,13.666666666666666,38,38,32,16,8,0.14695340501792115,2,False,True,False,13.666666666666666,0.0
NO,landing_region_0235::landing_region_0335,landing_region_0235 -> landing_region_0335,10.666666666666666,32,32,26,13,7,0.11469534050179211,3,False,False,True,10.666666666666666,0.0
NO,landing_region_0079::landing_region_0335,landing_region_0079 -> landing_region_0335,5.666666666666666,17,17,8,4,2,0.06093189964157705,4,False,False,False,5.666666666666666,0.0
NO,landing_region_0335::landing_region_0535,landing_region_0335 -> landing_region_0535,5.666666666666666,17,17,8,4,2,0.06093189964157705,5,False,False,False,5.666666666666666,0.0
NO,landing_region_0335::landing_region_0583,landing_region_0335 -> landing_region_0583,5.666666666666666,17,17,8,4,2,0.06093189964157705,6,False,False,False,5.666666666666666,0.0
NO,landing_region_0335::landing_region_0345,landing_region_0335 -> landing_region_0345,5.0,10,10,10,5,2,0.053763440860215055,7,False,False,False,5.0,0.0
NO,landing_region_0335::landing_region_0536,landing_region_0335 -> landing_region_0536,5.0,10,10,10,5,2,0.053763440860215055,8,False,False,False,5.0,0.0
NO,landing_region_0063::landing_region_0063,landing_region_0063 -> landing_region_0063,2.0,6,6,2,1,1,0.021505376344086023,9,False,False,False,2.0,0.0
NO,landing_region_0063::landing_region_0190,landing_region_0063 -> landing_region_0190,2.0,4,4,4,2,2,0.021505376344086023,10,False,False,False,2.0,0.0
NO,landing_region_0063::landing_region_0365,landing_region_0063 -> landing_region_0365,2.0,6,6,2,1,1,0.021505376344086023,11,False,False,False,2.0,0.0
NO,landing_region_0365::landing_region_0365,landing_region_0365 -> landing_region_0365,2.0,6,6,2,1,1,0.021505376344086023,12,False,False,False,2.0,0.0
NO,landing_region_0190::landing_region_0190,landing_region_0190 -> landing_region_0190,1.0,2,2,2,1,1,0.010752688172043012,13,False,False,False,1.0,0.0
NO,landing_region_0190::landing_region_0365,landing_region_0190 -> landing_region_0365,1.0,2,2,2,1,1,0.010752688172043012,14,False,False,False,1.0,0.0
NO,landing_region_0158::landing_region_0158,landing_region_0158 -> landing_region_0158,0.6666666666666666,2,2,2,1,1,0.007168458781362007,15,False,False,False,0.6666666666666666,0.0
NO,landing_region_0158::landing_region_0442,landing_region_0158 -> landing_region_0442,0.6666666666666666,2,2,2,1,1,0.007168458781362007,16,False,False,False,0.6666666666666666,0.0
NO,landing_region_0158::landing_region_0536,landing_region_0158 -> landing_region_0536,0.6666666666666666,2,2,2,1,1,0.007168458781362007,17,False,False,False,0.6666666666666666,0.0
NU,landing_region_0048::landing_region_0073,landing_region_0048 -> landing_region_0073,2.0,2,2,2,1,1,1.0,1,True,False,False,0.0,2.0
NZ,landing_region_0041::landing_region_0089,landing_region_0041 -> landing_region_0089,64.5,129,129,129,70,17,0.27564102564102566,1,True,False,False,0.0,64.5
NZ,landing_region_0041::landing_region_0615,landing_region_0041 -> landing_region_0615,64.5,129,129,129,70,17,0.27564102564102566,2,False,True,False,0.0,64.5
NZ,landing_region_0089::landing_region_0362,landing_region_0089 -> landing_region_0362,53.0,53,53,40,20,5,0.2264957264957265,3,False,False,True,53.0,0.0
