landing_region_id,landing_region_label,landing_station_count,region_diameter_km,configured_maximum_diameter_km,diameter_within_configured_maximum,configured_radius_km,diameter_within_configured_radius,region_assignment_methods,landing_station_ids
landing_region_85e39fb7d29e,"Chai Wan, China",5,12.258212979721536,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""cape-daguilar-china"", ""chai-wan-china"", ""chung-hom-kok-china"", ""deep-water-bay-china"", ""tseung-kwan-o-china""]"
landing_region_86121d67b15f,"Taliabu, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""taliabu-indonesia""]"
landing_region_86152492d976,"Jutaí, Brazil",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""juta-brazil""]"
landing_region_8629fb4b5fb3,"Coron, Philippines",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""coron-philippines""]"
landing_region_8631930646d6,"Lingga, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""lingga-indonesia""]"
landing_region_865e02521a12,"Brisbane, QLD, Australia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""brisbane-qld-australia""]"
landing_region_868a92465a63,"Bejaia, Algeria",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bejaia-algeria""]"
landing_region_86e759ab6bdc,"Yapen, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""yapen-indonesia""]"
landing_region_86fc96a56941,"Khark Island, Iran",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""khark-island-iran""]"
landing_region_8711bc4052e8,"Giglio, Italy",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""giglio-italy""]"
landing_region_871e9df10d3a,"San José del Cabo, Mexico",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""san-jos-del-cabo-mexico""]"
landing_region_873dfa13253a,"Zeballos, BC, Canada",5,24.093727950448557,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""esperanza-bc-canada"", ""nuchatlaht-bc-canada"", ""queens-cove-bc-canada"", ""tahsis-bc-canada"", ""zeballos-bc-canada""]"
landing_region_87898398334e,"Selayar, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""selayar-indonesia""]"
landing_region_879c46848b6c,"Terempa, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""terempa-indonesia""]"
landing_region_87a0c84a1aa5,"Kurilsk, Russia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""kurilsk-russia""]"
landing_region_87b575b90c68,"Itoman, Japan",4,14.00750972887801,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""itoman-japan"", ""komesu-japan"", ""naha-japan"", ""yaese-japan""]"
landing_region_87c21d28b0e8,"Amaturá, Brazil",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""amatur-brazil""]"
landing_region_87ccad26489a,"Curralinho, Brazil",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""curralinho-brazil""]"
landing_region_87e73b7c9e3f,"Bold Point, BC, Canada",6,22.74983493258833,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bold-point-bc-canada"", ""granite-bay-bc-canada"", ""heriot-bay-bc-canada"", ""open-bay-bc-canada"", ""surge-narrows-bc-canada"", ""whaletown-bc-canada""]"
landing_region_8812d6f6982d,"Higuerote, Venezuela",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""higuerote-venezuela""]"
landing_region_883a5ebd5136,"Wellington, New Zealand",3,28.76309179273091,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""oteranga-bay-new-zealand"", ""titahi-bay-new-zealand"", ""wellington-new-zealand""]"
landing_region_885b498a102e,"Rodbyhavn, Denmark",2,20.823667579289367,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""puttgarden-germany"", ""rodbyhavn-denmark""]"
landing_region_888c73260429,"Kaliko, Haiti",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""kaliko-haiti""]"
landing_region_88c127c1cd34,"Wakkanai, Japan",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""wakkanai-japan""]"
landing_region_88cdc9b92bbf,"Machico, Portugal",2,15.846632057158955,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""funchal-portugal"", ""machico-portugal""]"
