country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
IL,landing_region_4352ed1ae85d::landing_region_ae2cb6b6c71d,"Nahariyya, Israel -> Haifa, Israel",1.2,2,2,1,1,1,21,9,0.026666666666666665,5,False,False,False,1.2,0.0
IL,landing_region_192d23342e5f::landing_region_1a7bd9b543d8,"Tel Aviv, Israel -> Ashkelon, Israel",1.1666666666666665,3,3,1,1,1,21,9,0.02592592592592592,6,False,False,False,1.1666666666666665,0.0
IL,landing_region_1a7bd9b543d8::landing_region_cc314324bd60,"Ashkelon, Israel -> Netanya, Israel",0.6666666666666666,2,2,1,1,1,21,9,0.014814814814814814,7,False,False,False,0.6666666666666666,0.0
IL,landing_region_192d23342e5f::landing_region_4352ed1ae85d,"Tel Aviv, Israel -> Nahariyya, Israel",0.2,1,1,1,1,1,21,9,0.0044444444444444444,8,False,False,False,0.2,0.0
IL,landing_region_4352ed1ae85d::landing_region_cc314324bd60,"Nahariyya, Israel -> Netanya, Israel",0.2,1,1,1,1,1,21,9,0.0044444444444444444,9,False,False,False,0.2,0.0
IN,landing_region_32509493c7f4::landing_region_9430e1a9028b,"Chennai, India -> Changi North, Singapore",28.5,57,57,57,56,24,76,35,0.3392857142857143,1,True,False,False,0.0,28.5
IN,landing_region_32509493c7f4::landing_region_af2b1cb46785,"Chennai, India -> Tuas, Singapore",28.5,57,57,57,56,24,76,35,0.3392857142857143,2,False,True,False,0.0,28.5
IN,landing_region_0074f164da96::landing_region_32509493c7f4,"Mumbai, India -> Chennai, India",14.0,14,14,14,12,9,76,35,0.16666666666666666,3,False,False,True,14.0,0.0
IN,landing_region_0074f164da96::landing_region_af2b1cb46785,"Mumbai, India -> Tuas, Singapore",11.0,11,11,11,11,8,76,35,0.13095238095238096,4,False,False,False,0.0,11.0
IN,landing_region_0074f164da96::landing_region_08ea81d123b5,"Mumbai, India -> Marseille, France",2.0,2,2,2,2,2,76,35,0.023809523809523808,5,False,False,False,0.0,2.0
IT,landing_region_04d22ee1208c::landing_region_1d5c9bdda1cc,"Genoa, Italy -> Rome, Italy",2.0,2,2,2,2,2,4,3,0.3333333333333333,1,True,False,False,2.0,0.0
IT,landing_region_04d22ee1208c::landing_region_08ea81d123b5,"Genoa, Italy -> Marseille, France",1.5,3,3,3,3,2,4,3,0.25,2,False,True,False,0.0,1.5
IT,landing_region_08ea81d123b5::landing_region_e151c65a30d3,"Marseille, France -> Savona, Italy",1.5,3,3,3,3,2,4,3,0.25,3,False,False,True,0.0,1.5
IT,landing_region_1d5c9bdda1cc::landing_region_ea98b74befe5,"Rome, Italy -> Isola delle Femmine, Italy",1.0,1,1,1,1,1,4,3,0.16666666666666666,4,False,False,False,1.0,0.0
JM,landing_region_68c87c6fa47f::landing_region_bb71ecf60691,"Copa Club, Jamaica -> Port Antonio, Jamaica",5.0,5,5,5,4,2,4,2,1.0,1,True,False,False,5.0,0.0
JP,landing_region_6ee5239e409c::landing_region_87b575b90c68,"Ama, Japan -> Itoman, Japan",1.6666666666666665,5,5,1,1,1,1,1,0.3333333333333333,1,True,False,False,1.6666666666666665,0.0
JP,landing_region_6ee5239e409c::landing_region_b6092af8113d,"Ama, Japan -> Yomitan, Japan",1.6666666666666665,5,5,1,1,1,1,1,0.3333333333333333,2,False,True,False,1.6666666666666665,0.0
JP,landing_region_87b575b90c68::landing_region_b6092af8113d,"Itoman, Japan -> Yomitan, Japan",1.6666666666666665,5,5,1,1,1,1,1,0.3333333333333333,3,False,False,True,1.6666666666666665,0.0
KE,landing_region_173727a59ebb::landing_region_57424b247075,"Djibouti City, Djibouti -> Nyali, Kenya",2.0,2,2,2,2,2,2,2,1.0,1,True,False,False,0.0,2.0
KN,landing_region_04a5b4bc2547::landing_region_32bca37bf53d,"Gallows Bay, Bonaire, Sint Eustatius and Saba -> Basseterre, Saint Kitts and Nevis",2.0,2,2,2,2,2,2,2,1.0,1,True,False,False,2.0,0.0
KY,landing_region_6a990cca53f4::landing_region_bd03623e84bf,"Half Moon Bay, Cayman Islands -> Hollywood, FL, United States",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
LC,landing_region_32bca37bf53d::landing_region_c92fc361db9a,"Basseterre, Saint Kitts and Nevis -> Rodney Bay, Saint Lucia",2.0,2,2,2,2,1,2,1,1.0,1,True,False,False,0.0,2.0
