country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
JP,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6453->6453,as_transition,intra_as_hop_pair,1,1,1.0,1,True,False,False,False,1,1,1,0,1
KE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,30844->30844,as_transition,intra_as_hop_pair,2,2,0.6666666666666666,1,True,False,False,False,3,3,3,0,2
KE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,207113->6939,as_transition,cross_as_transition,1,1,0.3333333333333333,2,False,True,False,False,3,3,3,0,1
KY,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,36549->3855,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
LK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,18001->18001,as_transition,intra_as_hop_pair,6,6,1.0,1,True,False,False,False,6,3,1,0,6
MM,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,136168->136168,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,2,2,0,2
MP,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7131->7131,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MT,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,15735->1299,as_transition,cross_as_transition,4,4,1.0,1,True,False,False,False,4,2,1,0,4
MV,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,24016->45489,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MX,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,265539->23520,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MY,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,3356->3356,as_transition,intra_as_hop_pair,4,4,0.8,1,True,False,False,False,5,3,2,0,4
MY,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,45352->45352,as_transition,intra_as_hop_pair,1,1,0.2,2,False,True,False,False,5,3,2,0,1
NC,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:NC->AU,country_fallback,country_fallback,10,10,1.0,1,True,False,False,True,10,5,2,0,10
NG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,37721->37721,as_transition,intra_as_hop_pair,29,29,0.6904761904761905,1,True,False,False,False,42,22,13,0,29
