analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
probe_country_service,,47,47,47,0,0,True,TW,K-Root,all_publicly_visible
probe_country_service,,47,47,47,0,0,True,TW,K-Root,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,UG,K-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,UG,K-Root,resolved_entry_only
probe_country_service,,117,117,117,0,0,True,US,K-Root,all_publicly_visible
probe_country_service,,95,95,95,0,0,True,US,K-Root,resolved_entry_only
probe_country_service,,23,23,23,0,0,True,UZ,K-Root,all_publicly_visible
probe_country_service,,23,23,23,0,0,True,UZ,K-Root,resolved_entry_only
probe_country_service,,9,9,9,0,0,True,VE,K-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,VE,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,VI,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,VI,K-Root,resolved_entry_only
probe_country_service,,70,70,70,0,0,True,ZA,K-Root,all_publicly_visible
probe_country_service,,70,70,70,0,0,True,ZA,K-Root,resolved_entry_only
