country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
PK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:PK->SG,country_fallback,country_fallback,14,14,1.0,1,True,False,False,True,14,7,3,0,14
PR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,5786->20080,as_transition,cross_as_transition,2,2,0.5,1,True,False,False,False,4,2,1,0,2
PR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,14638->23520,as_transition,cross_as_transition,2,2,0.5,2,False,True,False,False,4,2,1,0,2
PT,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,30844->30844,as_transition,intra_as_hop_pair,4,4,1.0,1,True,False,False,False,4,4,2,0,4
QA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8781->6939,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
RE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:RE->ZA,country_fallback,country_fallback,51,51,1.0,1,True,False,False,True,51,26,1,0,51
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8473->8473,as_transition,intra_as_hop_pair,118,118,0.44528301886792454,1,True,False,False,False,265,120,50,118,0
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9002->9002,as_transition,intra_as_hop_pair,47,47,0.17735849056603772,2,False,True,False,False,265,120,50,0,47
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,29518->29518,as_transition,intra_as_hop_pair,26,26,0.09811320754716982,3,False,False,True,False,265,120,50,26,0
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,29518->8473,as_transition,cross_as_transition,24,24,0.09056603773584905,4,False,False,False,False,265,120,50,24,0
