probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
CN,158,145,23,0.14556962025316456,0.9177215189873418,1,78,26,1,1
CO,86,80,8,0.09302325581395349,0.9302325581395349,1,43,29,1,1
CR,36,30,0,0.0,0.8333333333333334,1,18,9,1,1
CU,2,2,1,0.5,1.0,1,1,1,1,1
CV,8,8,2,0.25,1.0,1,4,2,1,1
CW,4,4,3,0.75,1.0,1,2,2,1,1
CY,28,26,6,0.21428571428571427,0.9285714285714286,1,14,7,1,1
CZ,570,552,0,0.0,0.968421052631579,1,285,113,1,1
DE,3622,3520,16,0.004417448923246825,0.9718387631143015,1,1813,408,1,1
DJ,6,6,2,0.3333333333333333,1.0,1,3,2,1,1
DK,220,210,166,0.7545454545454545,0.9545454545454546,1,110,36,1,1
DO,18,18,5,0.2777777777777778,1.0,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,54,48,4,0.07407407407407407,0.8888888888888888,1,27,20,1,1
EE,83,71,36,0.43373493975903615,0.8554216867469879,1,42,22,1,1
EG,6,6,0,0.0,1.0,1,3,2,1,1
ES,501,470,7,0.013972055888223553,0.93812375249501,1,251,79,1,1
ET,2,2,2,1.0,1.0,1,1,1,1,1
FI,353,336,86,0.24362606232294617,0.9518413597733711,1,177,62,1,1
FJ,4,2,2,0.5,0.5,1,2,2,1,1
FM,4,2,2,0.5,0.5,1,2,1,1,1
FR,2138,2056,0,0.0,0.961646398503274,1,1071,177,1,1
GB,1224,1147,4,0.0032679738562091504,0.9370915032679739,1,613,205,1,1
GE,32,32,0,0.0,1.0,1,16,11,1,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,2,2,2,1.0,1.0,1,1,1,1,1
GH,6,6,2,0.3333333333333333,1.0,1,3,3,1,1
GP,4,4,2,0.5,1.0,1,2,2,1,1
GQ,2,2,0,0.0,1.0,1,1,1,1,1
GR,152,142,0,0.0,0.9342105263157895,1,76,25,1,1
GT,8,4,0,0.0,0.5,1,4,3,1,1
GU,18,18,15,0.8333333333333334,1.0,1,9,5,1,1
HK,132,122,66,0.5,0.9242424242424242,1,66,40,1,1
HN,20,16,0,0.0,0.8,1,10,8,1,1
HR,94,94,0,0.0,1.0,1,47,22,1,1
HT,2,2,0,0.0,1.0,1,1,1,1,1
HU,110,102,0,0.0,0.9272727272727272,1,55,21,1,1
ID,189,183,139,0.7354497354497355,0.9682539682539683,1,94,66,1,1
