country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,55785->55850,as_transition,cross_as_transition,1,1,0.00819672131147541,15,False,False,False,False,122,70,17,1,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45177->2914,as_transition,cross_as_transition,1,1,0.00819672131147541,16,False,False,False,False,122,70,17,0,1
OM,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8529->6939,as_transition,cross_as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,11556->23520,as_transition,cross_as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PG,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17828->4826,as_transition,cross_as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
PH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17639->17639,as_transition,intra_as_hop_pair,9,9,0.225,1,True,False,False,False,40,35,18,0,9
PH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9299->9299,as_transition,intra_as_hop_pair,7,7,0.175,2,False,True,False,False,40,35,18,2,5
PH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,137074->137074,as_transition,intra_as_hop_pair,6,6,0.15,3,False,False,True,False,40,35,18,0,6
PH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,134707->134707,as_transition,intra_as_hop_pair,4,4,0.1,4,False,False,False,False,40,35,18,0,4
PH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,45754->1299,as_transition,cross_as_transition,2,2,0.05,5,False,False,False,False,40,35,18,0,2
PH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,55821->55821,as_transition,intra_as_hop_pair,2,2,0.05,6,False,False,False,False,40,35,18,0,2
