country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
DO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,16,16.0,2,landing_region_0174::landing_region_0783,0.75,1.0,1.0,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.0,1.0
EE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,24,24.0,4,landing_region_0351::landing_region_0640,0.5,0.6875,0.875,3.4357833376786284,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.125,0.875
ES,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,56,56.0,1,landing_region_0126::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,20,13,1,0.0,1.0
FI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,354,354.0,11,landing_region_0351::landing_region_0640,0.655367231638418,0.7528248587570621,0.8432203389830508,3.706780282268755,weak_corridor_observation_concentration,True,True,True,True,auditable,,129,58,1,0.22598870056497175,0.7740112994350282
FJ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9,9.0,1,landing_region_0041::landing_region_0903,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0
FR,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,415,415.0,3,landing_region_0132::landing_region_0431,0.927710843373494,0.9879518072289156,1.0,1.3392250494008398,severe_corridor_observation_concentration,True,True,True,True,auditable,,189,84,1,0.07228915662650602,0.927710843373494
GB,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_0039::landing_region_0159,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5
GH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0006::landing_region_0556,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
GP,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_0106::landing_region_0106,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
GQ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0131::landing_region_0606,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
GT,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,13,13.0,1,landing_region_0591::landing_region_0785,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,1,0.0,1.0
GU,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,93,93.0,3,landing_region_0014::landing_region_0266,0.3655913978494624,0.6827956989247312,1.0,2.9930894760728366,weak_corridor_observation_concentration,True,True,True,True,auditable,,17,11,1,0.6344086021505376,0.3655913978494624
HK,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,144,144.0,4,landing_region_0230::landing_region_0266,0.8333333333333334,0.9097222222222223,0.9791666666666667,1.8483157021278158,severe_corridor_observation_concentration,True,True,True,True,auditable,,50,33,1,0.0763888888888889,0.9236111111111112
HN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,17,17.0,3,landing_region_0174::landing_region_0775,0.35294117647058826,0.7058823529411765,1.0,2.989415436556866,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,1,0.0,1.0
ID,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,143,142.99999999999997,15,landing_region_0061::landing_region_0266,0.36363636363636365,0.6153846153846154,0.7202797202797203,6.903063670129878,broad_corridor_observation_distribution,False,False,True,True,auditable,,27,25,1,0.5594405594405596,0.4405594405594406
IL,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,54,54.0,2,landing_region_0083::landing_region_0083,0.8518518518518519,1.0,1.0,1.5211754666405197,severe_corridor_observation_concentration,True,True,True,True,auditable,,14,8,1,0.8518518518518519,0.14814814814814814
IM,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0169::landing_region_0334,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
IN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,62,62.0,4,landing_region_0132::landing_region_0663,0.3870967741935484,0.6612903225806451,0.8709677419354839,3.7208203913319604,weak_corridor_observation_concentration,True,True,True,True,auditable,,13,6,1,0.27419354838709675,0.7258064516129032
