probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
HN,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,34,0.29411764705882354,0.5588235294117647,0.8235294117647058,4.401855938338021,weak_network_transition_concentration,0.2647058823529412,0.4411764705882353,0.6176470588235294,6.155106400152258,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,5,4,0.2647058823529412,0.7352941176470589
HR,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8,0.625,1.0,1.0,1.9378192408783848,moderate_network_transition_concentration,0.625,0.8125,1.0,2.5130406413348823,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.375,0.625
HU,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
ID,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,151,0.3708609271523179,0.4503311258278146,0.4900662251655629,13.084991085458737,broad_network_transition_distribution,0.33112582781456956,0.5496688741721855,0.6490066225165563,9.187080966406343,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,25,24,0.5695364238410596,0.4304635761589404
IL,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,48,0.5,0.75,0.875,3.668016172818685,weak_network_transition_concentration,0.8333333333333334,1.0,1.0,1.5691925832141966,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,12,7,0.8333333333333334,0.16666666666666666
IM,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
IN,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,302,0.5,0.8178807947019868,0.8841059602649006,3.6002332801704138,moderate_network_transition_concentration,0.31788079470198677,0.5728476821192053,0.8278145695364238,4.892215532787924,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,54,24,0.5596026490066225,0.44039735099337746
IR,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,21,0.5714285714285714,0.8571428571428571,1.0,2.6004900059896596,moderate_network_transition_concentration,0.2857142857142857,0.5714285714285714,0.8571428571428571,3.8643132978583434,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,0.8571428571428571,0.14285714285714285
IT,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,40,0.45,0.675,0.75,4.779103356376485,broad_network_transition_distribution,0.3,0.525,0.75,5.9886412863745235,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,6,4,0.6,0.4
JP,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,908,0.4746696035242291,0.5958149779735683,0.6850220264317181,8.849618718747822,broad_network_transition_distribution,0.4906387665198238,0.9647577092511013,0.9713656387665198,2.4619197791551577,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,197,90,0.9845814977973568,0.015418502202643172
KE,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,16,0.9375,1.0,1.0,1.2633812503027273,severe_network_transition_concentration,0.5625,0.9375,1.0,2.3743888938571454,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
KI,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1.0,0.0
KN,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
